week,n_at_risk,n_events,hazard,n
2017-01-08,14,0,0.0,4
2017-01-15,35,0,0.0,4
2017-01-22,93,0,0.0,4
2017-01-29,175,0,0.0,4
2017-02-05,246,0,0.0,4
2017-02-12,297,0,0.0,4
2017-02-19,332,0,0.0,4
2017-02-26,367,1,0.0027247956403269754,4
2017-03-05,399,1,0.002506265664160401,4
2017-03-12,428,2,0.004672897196261682,4
2017-03-19,449,1,0.0022271714922048997,4
2017-03-26,477,1,0.0020964360587002098,4
2017-04-02,503,3,0.005964214711729622,4
2017-04-09,523,1,0.0019120458891013384,4
2017-04-16,545,3,0.005504587155963303,4
2017-04-23,557,2,0.003590664272890485,4
2017-04-30,578,0,0.0,4
2017-05-07,599,3,0.005008347245409015,4
2017-05-14,615,3,0.004878048780487805,4
2017-05-21,635,2,0.0031496062992125984,4
2017-05-28,645,1,0.0015503875968992248,4
2017-06-04,652,6,0.009202453987730062,4
2017-06-11,660,2,0.0030303030303030303,4
2017-06-18,669,8,0.01195814648729447,4
2017-06-25,667,9,0.013493253373313344,4
2017-07-02,674,6,0.008902077151335312,4
2017-07-09,684,2,0.0029239766081871343,4
2017-07-16,704,3,0.004261363636363636,4
2017-07-23,726,6,0.008264462809917356,4
2017-07-30,741,4,0.005398110661268556,4
2017-08-06,759,3,0.003952569169960474,4
2017-08-13,774,5,0.006459948320413436,4
2017-08-20,792,2,0.0025252525252525255,4
2017-08-27,810,5,0.006172839506172839,4
2017-09-03,821,11,0.013398294762484775,4
2017-09-10,831,4,0.0048134777376654635,4
2017-09-17,855,5,0.005847953216374269,4
2017-09-24,863,5,0.005793742757821553,4
2017-10-01,876,5,0.005707762557077625,4
2017-10-08,901,4,0.004439511653718091,4
2017-10-15,926,9,0.009719222462203024,4
2017-10-22,942,3,0.0031847133757961785,4
2017-10-29,954,8,0.008385744234800839,4
2017-11-05,970,6,0.006185567010309278,4
2017-11-12,989,6,0.006066734074823054,4
2017-11-19,1016,5,0.004921259842519685,4
2017-11-26,1046,7,0.006692160611854685,4
2017-12-03,1060,1,0.0009433962264150943,4
2017-12-10,1077,8,0.007428040854224698,4
2017-12-17,1083,9,0.008310249307479225,4
2017-12-24,1088,11,0.01011029411764706,4
2017-12-31,1083,14,0.012927054478301015,4
2018-01-07,1089,11,0.010101010101010102,4
2018-01-14,1100,9,0.008181818181818182,4
2018-01-21,1112,10,0.008992805755395683,4
2018-01-28,1126,4,0.003552397868561279,4
2018-02-04,1138,5,0.004393673110720563,4
2018-02-11,1146,8,0.006980802792321117,4
2018-02-18,1155,11,0.009523809523809525,4
2018-02-25,1170,11,0.009401709401709401,4
2018-03-04,1173,19,0.01619778346121057,4
2018-03-11,1171,10,0.008539709649871904,4
2018-03-18,1182,16,0.01353637901861252,4
2018-03-25,1188,12,0.010101010101010102,4
2018-04-01,1187,12,0.010109519797809604,4
2018-04-08,1213,13,0.010717230008244023,4
2018-04-15,1232,11,0.008928571428571428,4
2018-04-22,1243,9,0.007240547063555913,4
2018-04-29,1265,12,0.009486166007905139,4
2018-05-06,1277,15,0.011746280344557557,4
2018-05-13,1292,20,0.015479876160990712,4
2018-05-20,1296,12,0.009259259259259259,4
2018-05-27,1295,22,0.01698841698841699,4
2018-06-03,1290,19,0.014728682170542635,4
2018-06-10,1292,20,0.015479876160990712,4
2018-06-17,1295,22,0.01698841698841699,4
2018-06-24,1292,17,0.013157894736842105,4
2018-07-01,1298,14,0.01078582434514638,4
2018-07-08,1303,24,0.01841903300076746,4
2018-07-15,1291,30,0.023237800154918668,4
2018-07-22,1277,28,0.02192638997650744,4
2018-07-29,1264,33,0.02610759493670886,4
2018-08-05,1244,0,0.0,4
2018-08-12,1254,0,0.0,4
2018-08-19,1254,0,0.0,4
2018-08-26,1254,0,0.0,4
2017-01-08,14,0,0.0,8
2017-01-15,35,0,0.0,8
2017-01-22,93,0,0.0,8
2017-01-29,175,0,0.0,8
2017-02-05,246,0,0.0,8
2017-02-12,297,0,0.0,8
2017-02-19,332,0,0.0,8
2017-02-26,367,0,0.0,8
2017-03-05,400,0,0.0,8
2017-03-12,430,0,0.0,8
2017-03-19,453,0,0.0,8
2017-03-26,482,1,0.002074688796680498,8
2017-04-02,508,1,0.001968503937007874,8
2017-04-09,530,2,0.0037735849056603774,8
2017-04-16,551,1,0.0018148820326678765,8
2017-04-23,565,1,0.0017699115044247787,8
2017-04-30,587,3,0.005110732538330494,8
2017-05-07,605,1,0.001652892561983471,8
2017-05-14,623,3,0.004815409309791332,8
2017-05-21,643,2,0.003110419906687403,8
2017-05-28,653,0,0.0,8
2017-06-04,661,3,0.0045385779122541605,8
2017-06-11,672,3,0.004464285714285714,8
2017-06-18,680,2,0.0029411764705882353,8
2017-06-25,684,1,0.0014619883040935672,8
2017-07-02,699,6,0.008583690987124463,8
2017-07-09,709,2,0.0028208744710860366,8
2017-07-16,729,8,0.010973936899862825,8
2017-07-23,746,9,0.012064343163538873,8
2017-07-30,758,6,0.0079155672823219,8
2017-08-06,774,2,0.002583979328165375,8
2017-08-13,790,3,0.0037974683544303796,8
2017-08-20,810,6,0.007407407407407408,8
2017-08-27,824,4,0.0048543689320388345,8
2017-09-03,836,3,0.0035885167464114833,8
2017-09-10,854,5,0.00585480093676815,8
2017-09-17,877,2,0.002280501710376283,8
2017-09-24,888,5,0.00563063063063063,8
2017-10-01,901,11,0.01220865704772475,8
2017-10-08,920,4,0.004347826086956522,8
2017-10-15,945,5,0.005291005291005291,8
2017-10-22,965,5,0.0051813471502590676,8
2017-10-29,975,5,0.005128205128205128,8
2017-11-05,994,4,0.004024144869215292,8
2017-11-12,1015,9,0.008866995073891626,8
2017-11-19,1039,3,0.0028873917228103944,8
2017-11-26,1071,8,0.007469654528478058,8
2017-12-03,1084,6,0.005535055350553505,8
2017-12-10,1096,6,0.005474452554744526,8
2017-12-17,1104,5,0.004528985507246377,8
2017-12-24,1113,7,0.006289308176100629,8
2017-12-31,1112,1,0.0008992805755395684,8
2018-01-07,1131,8,0.007073386383731211,8
2018-01-14,1145,9,0.007860262008733625,8
2018-01-21,1157,11,0.00950734658599827,8
2018-01-28,1170,14,0.011965811965811967,8
2018-02-04,1172,11,0.00938566552901024,8
2018-02-11,1174,9,0.007666098807495741,8
2018-02-18,1182,10,0.008460236886632826,8
2018-02-25,1198,4,0.00333889816360601,8
2018-03-04,1208,5,0.0041390728476821195,8
2018-03-11,1220,8,0.006557377049180328,8
2018-03-18,1233,11,0.008921330089213302,8
2018-03-25,1244,11,0.008842443729903537,8
2018-04-01,1244,19,0.01527331189710611,8
2018-04-08,1263,10,0.00791765637371338,8
2018-04-15,1285,16,0.012451361867704281,8
2018-04-22,1291,12,0.009295120061967466,8
2018-04-29,1310,12,0.00916030534351145,8
2018-05-06,1322,13,0.009833585476550681,8
2018-05-13,1339,11,0.008215085884988798,8
2018-05-20,1352,9,0.006656804733727811,8
2018-05-27,1354,12,0.008862629246676515,8
2018-06-03,1359,15,0.011037527593818985,8
2018-06-10,1365,20,0.014652014652014652,8
2018-06-17,1368,12,0.008771929824561403,8
2018-06-24,1375,22,0.016,8
2018-07-01,1376,19,0.013808139534883721,8
2018-07-08,1376,0,0.0,8
2018-07-15,1388,0,0.0,8
2018-07-22,1404,0,0.0,8
2018-07-29,1419,0,0.0,8
2018-08-05,1432,0,0.0,8
2018-08-12,1442,0,0.0,8
2018-08-19,1442,0,0.0,8
2018-08-26,1442,0,0.0,8
2017-01-08,14,0,0.0,12
2017-01-15,35,0,0.0,12
2017-01-22,93,0,0.0,12
2017-01-29,175,0,0.0,12
2017-02-05,246,0,0.0,12
2017-02-12,297,0,0.0,12
2017-02-19,332,0,0.0,12
2017-02-26,367,0,0.0,12
2017-03-05,400,0,0.0,12
2017-03-12,430,0,0.0,12
2017-03-19,453,0,0.0,12
2017-03-26,482,0,0.0,12
2017-04-02,509,0,0.0,12
2017-04-09,532,0,0.0,12
2017-04-16,555,0,0.0,12
2017-04-23,570,1,0.0017543859649122807,12
2017-04-30,592,1,0.0016891891891891893,12
2017-05-07,612,2,0.0032679738562091504,12
2017-05-14,629,1,0.001589825119236884,12
2017-05-21,651,1,0.0015360983102918587,12
2017-05-28,662,3,0.004531722054380665,12
2017-06-04,667,1,0.0014992503748125937,12
2017-06-11,680,3,0.004411764705882353,12
2017-06-18,688,2,0.0029069767441860465,12
2017-06-25,692,0,0.0,12
2017-07-02,708,3,0.00423728813559322,12
2017-07-09,721,3,0.004160887656033287,12
2017-07-16,740,2,0.002702702702702703,12
2017-07-23,763,1,0.001310615989515072,12
2017-07-30,783,6,0.007662835249042145,12
2017-08-06,799,2,0.0025031289111389237,12
2017-08-13,815,8,0.0098159509202454,12
2017-08-20,830,9,0.010843373493975903,12
2017-08-27,841,6,0.007134363852556481,12
2017-09-03,851,2,0.0023501762632197414,12
2017-09-10,870,3,0.0034482758620689655,12
2017-09-17,895,6,0.0067039106145251395,12
2017-09-24,902,4,0.004434589800443459,12
2017-10-01,916,3,0.0032751091703056767,12
2017-10-08,943,5,0.005302226935312832,12
2017-10-15,967,2,0.002068252326783868,12
2017-10-22,990,5,0.005050505050505051,12
2017-10-29,1000,11,0.011,12
2017-11-05,1013,4,0.003948667324777887,12
2017-11-12,1034,5,0.004835589941972921,12
2017-11-19,1062,5,0.004708097928436911,12
2017-11-26,1092,5,0.004578754578754579,12
2017-12-03,1108,4,0.0036101083032490976,12
2017-12-10,1122,9,0.008021390374331552,12
2017-12-17,1127,3,0.0026619343389529724,12
2017-12-24,1138,8,0.007029876977152899,12
2017-12-31,1136,6,0.00528169014084507,12
2018-01-07,1150,6,0.0052173913043478265,12
2018-01-14,1166,5,0.004288164665523156,12
2018-01-21,1182,7,0.005922165820642978,12
2018-01-28,1199,1,0.0008340283569641367,12
2018-02-04,1214,8,0.006589785831960461,12
2018-02-11,1219,9,0.007383100902378999,12
2018-02-18,1227,11,0.008964955175224124,12
2018-02-25,1242,14,0.011272141706924315,12
2018-03-04,1242,11,0.008856682769726247,12
2018-03-11,1248,9,0.007211538461538462,12
2018-03-18,1260,10,0.007936507936507936,12
2018-03-25,1272,4,0.0031446540880503146,12
2018-04-01,1279,5,0.003909304143862392,12
2018-04-08,1312,8,0.006097560975609756,12
2018-04-15,1336,11,0.008233532934131737,12
2018-04-22,1347,11,0.008166295471417966,12
2018-04-29,1367,19,0.013899049012435992,12
2018-05-06,1372,10,0.007288629737609329,12
2018-05-13,1392,16,0.011494252873563218,12
2018-05-20,1400,12,0.008571428571428572,12
2018-05-27,1399,12,0.008577555396711936,12
2018-06-03,1404,13,0.009259259259259259,12
2018-06-10,1412,0,0.0,12
2018-06-17,1435,0,0.0,12
2018-06-24,1454,0,0.0,12
2018-07-01,1477,0,0.0,12
