false_alarm_rate,threshold,n_events_accelerated,n_events_total,benefit_total_reais,cost_total_reais,net_delta_cost_reais,net_delta_cost_per_1000_merchant_weeks_reais,seller_level_false_alarm_rate
0.01,0.12387875074753213,10,237,300.0055727115079,16.97267443437321,-283.0328982771347,-8.120761434514524,0.06865464632454923
0.02,0.10457097816728352,23,237,547.0438762528074,28.769236508545696,-518.2746397442618,-14.870302118734738,0.10055478502080444
0.03,0.09061562857114223,37,237,867.4764589001124,40.958752748673795,-826.5177061514387,-23.71439205094077,0.12968099861303745
0.04,0.08008335941073785,57,237,2051.324948857234,53.97109889699965,-1997.3538499602346,-57.30794623017343,0.14840499306518723
0.05,0.0714345244288553,71,237,2655.976282527982,66.853825844212,-2589.12245668377,-74.28693245011247,0.17128987517337033
0.06,0.06295599371333108,87,237,3503.3317875869625,79.43887098164157,-3423.892916605321,-98.23811197329701,0.1955617198335645
0.07,0.05432332477494404,104,237,3829.88458495403,88.29491096681053,-3741.589673987219,-107.35344658959684,0.2274618585298197
0.08,0.04830661504921837,119,237,4409.758656622713,103.18849974665173,-4306.570156876061,-123.56382970981153,0.26282940360610263
0.09,0.043120860384884926,129,237,4808.429870173894,112.75967517602582,-4695.670194997869,-134.7278625942636,0.29056865464632453
0.1,0.03832388807061718,139,237,5080.653387018846,122.84372184829084,-4957.8096651705555,-142.24915115400555,0.32038834951456313
