false_alarm_rate,threshold,n_events_accelerated,n_events_total,benefit_total_reais,cost_total_reais,net_delta_cost_reais,net_delta_cost_per_1000_merchant_weeks_reais,seller_level_false_alarm_rate
0.01,0.2,26,237,609.6914711810437,34.48801529069428,-575.2034558903493,-16.503699993984718,0.11511789181692095
0.02,0.2,26,237,609.6914711810437,34.48801529069428,-575.2034558903493,-16.503699993984718,0.11511789181692095
0.03,0.17647058823529413,61,237,2221.1082030195557,56.358309405885095,-2164.749893613671,-62.110862583240205,0.15117891816920942
0.04,0.17647058823529413,61,237,2221.1082030195557,56.358309405885095,-2164.749893613671,-62.110862583240205,0.15117891816920942
0.05,0.05454545454545454,85,237,3494.7937525331113,78.3019409797334,-3416.491811553378,-98.02575995045987,0.1941747572815534
0.06,0.0513347022587269,107,237,3956.2683533584213,91.87922975208694,-3864.3891236063346,-110.87680037891529,0.239251040221914
0.07,0.0513347022587269,107,237,3956.2683533584213,91.87922975208694,-3864.3891236063346,-110.87680037891529,0.239251040221914
0.08,0.04038854805725971,158,237,5556.858176416128,143.12616887357544,-5413.732007542552,-155.33044522831756,0.36893203883495146
0.09,0.04038854805725971,158,237,5556.858176416128,143.12616887357544,-5413.732007542552,-155.33044522831756,0.36893203883495146
0.1,0.04038854805725971,158,237,5556.858176416128,143.12616887357544,-5413.732007542552,-155.33044522831756,0.36893203883495146
