false_alarm_rate,net_delta_per_1000mw_uncalibrated,net_delta_per_1000mw_calibrated,difference,sign_flip
0.01,-8.120761434514524,-16.503699993984718,-8.382938559470194,False
0.02,-14.870302118734738,-16.503699993984718,-1.6333978752499796,False
0.03,-23.71439205094077,-62.110862583240205,-38.39647053229943,False
0.04,-57.30794623017343,-62.110862583240205,-4.802916353066777,False
0.05,-74.28693245011247,-98.02575995045987,-23.738827500347398,False
0.06,-98.238111973297,-110.87680037891529,-12.638688405618296,False
0.07,-107.35344658959684,-110.87680037891529,-3.523353789318449,False
0.08,-123.56382970981151,-155.33044522831756,-31.766615518506043,False
0.09,-134.7278625942636,-155.33044522831756,-20.60258263405396,False
0.1,-142.24915115400557,-155.33044522831756,-13.081294074311984,False
