slice,n_sellers,n_events,n_censored_test_rows,n_flagged,benefit_reais,cost_reais,net_delta_reais,net_delta_per_1000_merchant_weeks_reais,model_wins
fixed_telephony,8,2,78,26,0.0,2.070563661971831,2.070563661971831,26.545687973997836,False
fashion_sport,2,0,26,9,0.0,0.56751384375,0.56751384375,21.827455528846155,False
fashion_underwear_beach,6,0,52,16,0.0,0.5670635675675677,0.5670635675675677,10.905068607068609,False
consoles_games,23,3,221,32,0.0,1.5514669343910463,1.5514669343910463,7.020212372810164,False
la_cuisine,1,0,26,6,0.0,0.14266708860759494,0.14266708860759494,5.487195715676728,False
agro_industry_and_commerce,13,1,171,14,0.0,0.831779067020251,0.831779067020251,4.864205070293865,False
furniture_bedroom,14,0,122,14,0.0,0.5723812499999998,0.5723812499999998,4.691649590163934,False
market_place,8,0,104,21,0.0,0.4013520000000001,0.4013520000000001,3.859153846153847,False
watches_gifts,52,2,723,3,0.0,2.2560831219879516,2.2560831219879516,3.1204469183789096,False
musical_instruments,38,5,364,16,0.0,1.117126275914634,1.117126275914634,3.069028230534709,False
furniture_living_room,17,2,121,20,0.0,0.3005485554171856,0.3005485554171856,2.483872358819716,False
office_furniture,17,0,248,13,0.0,0.49501374999999986,0.49501374999999986,1.9960231854838704,False
auto,210,10,1947,97,0.0,3.669125288747786,3.669125288747786,1.8845019459413386,False
electronics,42,3,428,41,0.0,0.80292096320877,0.80292096320877,1.8759835588989953,False
kitchen_dining_laundry_garden_furniture,21,0,198,9,0.0,0.336726013143483,0.336726013143483,1.700636430017591,False
christmas_supplies,7,0,87,4,0.0,0.14359153846153846,0.14359153846153846,1.6504774535809017,False
home_appliances_2,14,2,171,5,0.0,0.18659126635206322,0.18659126635206322,1.091176996210896,False
unknown,63,3,52,3,0.0,0.044065784482758615,0.044065784482758615,0.8474189323607426,False
home_confort,4,0,52,12,0.0,0.043197567567567575,0.043197567567567575,0.8307224532224534,False
dvds_blu_ray,3,0,44,5,0.0,0.03620547256097561,0.03620547256097561,0.8228516491130821,False
home_appliances,19,1,211,5,0.0,0.11714346875000001,0.11714346875000001,0.5551823163507109,False
food_drink,19,2,147,8,0.0,0.02485184210526316,0.02485184210526316,0.16906015037593985,False
drinks,21,2,96,2,0.0,0.01572439024390244,0.01572439024390244,0.1637957317073171,False
construction_tools_construction,50,1,580,6,0.0,0.037384941176470586,0.037384941176470586,0.06445679513184585,False
signaling_and_security,12,0,164,2,0.0,0.006668052631578947,0.006668052631578947,0.04065885750962773,False
books_technical,16,0,148,0,0.0,0.0,0.0,0.0,False
construction_tools_safety,13,0,56,0,0.0,0.0,0.0,0.0,False
diapers_and_hygiene,3,1,10,0,0.0,0.0,0.0,0.0,False
costruction_tools_garden,8,0,101,0,0.0,0.0,0.0,0.0,False
music,4,0,12,0,0.0,0.0,0.0,0.0,False
fashion_male_clothing,3,0,10,0,0.0,0.0,0.0,0.0,False
industry_commerce_and_business,6,0,104,0,0.0,0.0,0.0,0.0,False
cine_photo,5,0,43,0,0.0,0.0,0.0,0.0,False
costruction_tools_tools,8,0,67,0,0.0,0.0,0.0,0.0,False
art,11,0,29,0,0.0,0.0,0.0,0.0,False
books_imported,2,0,44,0,0.0,0.0,0.0,0.0,False
construction_tools_lights,14,0,71,0,0.0,0.0,0.0,0.0,False
small_appliances_home_oven_and_coffee,3,1,52,0,0.0,0.0,0.0,0.0,False
audio,2,0,26,0,0.0,0.0,0.0,0.0,False
party_supplies,3,0,29,0,0.0,0.0,0.0,0.0,False
home_construction,24,2,255,1,4.746296296296296,0.05067914361702128,-4.695617152679275,-18.414184912467743,True
bed_bath_table,123,9,1854,56,47.01077861163226,5.388615873680119,-41.622162737952145,-22.44992596437548,True
toys,114,12,1272,86,41.236200000000004,5.1535371718275975,-36.0826628281724,-28.366873292588366,True
housewares,253,12,3017,90,93.94833150116806,2.6522036821366317,-91.29612781903143,-30.260566065307067,True
stationery,65,7,796,35,30.86712857142857,0.5219101686578018,-30.34521840277077,-38.122133671822574,True
baby,101,5,1260,72,51.487428887289184,1.8778944819360324,-49.60953440535315,-39.37264635345488,True
